sku,variant_id,ean,largo,problema,sugerencia,confianza,metodo,producto,variante
VHMX00401,49836324094273,"=""87614018775""",11,largo inválido (11),"=""087614018775""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Biotina 5000 mcg de Swanson| Promueve el Cuidado del Cabello, Piel y Uñas | 100 cápsulas vegetales",100 cápsulas
VHMX00402,49836324127041,"=""87614011011""",11,largo inválido (11),"=""087614011011""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Vitamina C con rosa mosqueta 500mg de Swanson |  Refuerza el sistema inmune, ayudando al cuerpo a defenderse contra enfermedades e infecciones | 100 cápsulas vegetales",100 cápsulas
VHMX00403,49836324192577,"=""87614071046""",11,largo inválido (11),"=""087614071046""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"GABA + Melatonina Esencial para dormir con Valeriana y Pasiflora de Swanson | Proporciona un descanso y sueño reparador, reduciendo el estrés | 60 cápsulas veganas",60 cápsulas
VHMX00404,49836324258113,"=""87614110967""",11,largo inválido (11),"=""087614110967""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Hongo Melena de León 500 mg de Swanson | Promueve la función cognitiva, la concentración y la memoria | 60 cápsulas vegetales",60 cápsulas
VHMX00407,49836324421953,"=""87614026725""",11,largo inválido (11),"=""087614026725""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Vitamina K2 100 mcg de Swanson | Esencial para la correcta coagulación sanguínea y para prevenir la calcificación arterial, ayudando a mantener las arterias saludables | 30 cápsulas vegetales",30 cápsulas
VHMX00408,49836324487489,"=""87614021300""",11,largo inválido (11),"=""087614021300""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Mezcla de Enzimas patentadas 28mg + Pancreatina 145mg y Bioperina 5mg de Swanson | Bienestar digestivo, ayuda a reducir la hinchazón | 60 cápsulas vegetales",60 cápsulas
VHMX00410,49836324520257,"=""87614119366""",11,largo inválido (11),"=""087614119366""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Complejo de 14 Hongos Adaptógenos de Swanson | Soporte para la función del Sistema Inmunológico | 60 cápsulas veganas,60 cápsulas
VHMX00411,49836324585793,"=""87614080130""",11,largo inválido (11),"=""087614080130""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Tongkat Ali 800mg por porción Swanson | Suplemento para Energía y Salud Hormonal,120 cápsulas
VHMX00412,49836324651329,"=""87614112428""",11,largo inválido (11),"=""087614112428""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Extracto de Ginkgo Biloba estandarizado 30mg de Swanson | Promueve el funcionamiento cognitivo, concentración y memoria | 30 cápsulas vegetales",30 cápsulas
VHMX00413,49836324684097,"=""87614010076""",11,largo inválido (11),"=""087614010076""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Betacaroteno Vitamina A 25.000 UI 7500mcg de Swanson | Contribuye a mejorar la visión y mantener una piel saludable | 100 cápsulas blandas,100 cápsulas
VHMX00414,49836324716865,"=""87614010359""",11,largo inválido (11),"=""087614010359""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Ácido Fólico 800 mcg de Swanson |  Fortalece el sistema inmunológico, vital para la producción celular y del ADN| 250 cápsulas vegetales",250 cápsulas
VHMX00416,49836324782401,"=""87614010571""",11,largo inválido (11),"=""087614010571""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Vitaminas del complejo B + Colina + Inositol + PABA de Swanson | Apoya un metabolismo saludable, con energía y vitalidad | 100 y 250 cápsulas vegetales",100 cápsulas
VHMX00418,49836324815169,"=""87614010557""",11,largo inválido (11),"=""087614010557""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Vitaminas del complejo B + Colina + Inositol + PABA de Swanson | Promueve un metabolismo saludable con energía y vitalidad | 100 cápsulas vegetales,100 cápsulas
VHMX00419,49836324880705,"=""87614112398""",11,largo inválido (11),"=""087614112398""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Biotina 5000 mcg de Swanson | Promueve el cuidado del cabello, piel y uñas | 30 cápsulas vegetales",30 cápsulas
VHMX00421,49836324946241,"=""87614015026""",11,largo inválido (11),"=""087614015026""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Melatonina 3 mg de Swanson | Contribuye a reducir el insomnio, promoviendo un descanso reparador | 120 cápsulas vegetales",120 cápsulas
VHMX00422,49836325011777,"=""87614017129""",11,largo inválido (11),"=""087614017129""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Enzimas Digestivas 545mg de Swanson | Bienestar del Sistema Digestivo, aumentando la absorción de nutrientes  | 90 cápsulas vegetales",90 tabletas
VHMX00423,49836325044545,"=""87614018546""",11,largo inválido (11),"=""087614018546""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"NAC (N-Acetil Cisteína) 600 mg de Swanson |  Ayuda a aumentar los niveles de glutatión, un antioxidante crucial en el cuerpo, protegiendo las células del daño oxidativo | 100 cápsulas vegetales",100 cápsulas
VHMX00426,49836325175617,"=""87614190303""",11,largo inválido (11),"=""087614190303""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Epic Pro 25 Probiótico 30mil millones UFC de Swanson | Ayuda a equilibrar la flora intestinal y brinda apoyo al sistema inmunológico | 30 cápsulas vegetales,30 cápsulas
VHMX00430,49836325241153,"=""87614025346""",11,largo inválido (11),"=""087614025346""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Probiótico 7 cepas específicas 9.8 mil millones de UFC para Mujeres de Swanson | Ayuda a equilibrar la flora vaginal - Proporciona apoyo al sistema urinario | 60 cápsulas vegetales,60 cápsulas
VHMX00432,49836325273921,"=""87614110547""",11,largo inválido (11),"=""087614110547""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Vitamina C 1000 mg con Rosa Mosqueta Swanson  | Apoya el sistema inmunológico y ayuda en la absorción de hierro | 90 cápsulas vegetales,90 cápsulas
VHMX00436,49836325437761,"=""87614117133""",11,largo inválido (11),"=""087614117133""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),L-Arginina 850 mg de Swanson |  Apoyo Cardiovascular y del Sistema Inmunológico que proporciona energía y resistencia | 100 cápsulas vegetales,90 cápsulas
VHMX00438,49836325503297,"=""87614018836""",11,largo inválido (11),"=""087614018836""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"MSM, Extracto de cola de caballo y Colina | Soporte para Cabello, Piel y Uñas, Aporta nutrientes esenciales | 60 Tabletas vegetales",60 tabletas
VHMX00433,49836325339457,"=""87614022833""",11,largo inválido (11),"=""087614022833""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Resveratrol 100 mg de Swanson | Apoyo cardiovascular y proporciona potentes beneficios antioxidantes | 30 cápsulas vegetales,30 cápsulas
VHMX00435,49836325404993,"=""87614115443""",11,largo inválido (11),"=""087614115443""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"GABA 250 mg de Swanson | Soporte para la relajación, sueño y descanso | 60 cápsulas vegetales",60 cápsulas
VHMX00439,49836325568833,"=""87614040363""",11,largo inválido (11),"=""087614040363""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Vinagre de Sidra de Manzana 200mg de Swanson | Formulado para apoyar la detoxificación del cuerpo | 120 tabletas vegetales,120 tabletas
VHMX00440,49836325601601,"=""87614142890""",11,largo inválido (11),"=""087614142890""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Garcinia Cambogia 250 mg de Swanson |  Contribuye a mejorar el metabolismo | 120 cápsulas vegetales,120 cápsulas
VHMX00441,49836325699905,"=""87614080048""",11,largo inválido (11),"=""087614080048""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Complejo Supremo de DHEA con Zinc y plantas de Swanson | Apoyo en la Vitalidad Sexual | 45 cápsulas vegetales,45 tabletas
VHMX00444,49836325863745,"=""87614117072""",11,largo inválido (11),"=""087614117072""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Cardo Mariano 700mg + Diente de León 250mg de Swanson | Proporciona Bienestar Digestivo y Desintoxicación | 120 cápsulas vegetales,120 cápsulas
VHMX00451,49836326191425,"=""87614110073""",11,largo inválido (11),"=""087614110073""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Semilla de Uva Espectro Completo 380mg de Swanson | Potente antioxidante para protección celular | 100 cápsulas vegetales,100 cápsulas
VHMX00447,49836325962049,"=""87614110950""",11,largo inválido (11),"=""087614110950""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Complejo Adaptogénico a base de Ashwagandha, Rhodiola y Ginseng de Swanson | Manejo del Estrés, aumentando energía y vitalidad | 60 Cápsulas vegetales",60 cápsulas
VHMX00453,49836326355265,"=""87614111216""",11,largo inválido (11),"=""087614111216""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),L-Metionina 100% pura 500 mg de Swanson | Soporte antioxidante para el organismo y detoxificación | 30 cápsulas vegetales,30 cápsulas
VHMX00456,49836326453569,"=""87614116136""",11,largo inválido (11),"=""087614116136""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Cúrcuma y Pimienta Negra 605mg de Swanson | Apoyo cardiovascular y función de las articulaciones | 60 cápsulas veganas,60 cápsulas
VHMX00460,49836326682945,"=""87614018027""",11,largo inválido (11),"=""087614018027""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Cáscara Premium de Psyllium 610mg de Swanson | Bienestar Digestivo - Favorece la regularidad intestinal | 100 cápsulas vegetales,100 cápsulas
VHMX00448,49836326027585,"=""87614019222""",11,largo inválido (11),"=""087614019222""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Picolinato de Cromo 200 mcg de Swanson | Apoya la función metabólica | 100 y 200 cápsulas vegetales,100 cápsulas
VHMX00455,50486541222209,"=""87614019239""",11,largo inválido (11),"=""087614019239""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Picolinato de Cromo 200 mcg de Swanson | Apoya la función metabólica | 100 y 200 cápsulas vegetales,200 Cápsulas
VHMX00461,49836326748481,"=""87614019406""",11,largo inválido (11),"=""087614019406""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Cúrcuma Amplio Espectro 720 mg de Swanson | Propiedades antiinflamatorias y antioxidante | 100 cápsulas vegetales,100 cápsulas
VHMX00446,49836325929281,"=""87614019666""",11,largo inválido (11),"=""087614019666""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Cardo Mariano 500 mg de Swanson | Propiedades hepatoprotectoras, ayudando a proteger el hígado contra el daño oxidativo y mejorar su función | 100 cápsulas vegetales",100 cápsulas
VHMX00449,49836326125889,"=""87614020679""",11,largo inválido (11),"=""087614020679""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Complejo de Selenio Albion 200 mcg de Swanson | Favorece la función metabólica y promueve una potente acción antioxidante | 90 cápsulas vegetales,90 cápsulas
VHMX00452,49836326289729,"=""87614110738""",11,largo inválido (11),"=""087614110738""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Complejo B Super Estrés con Vitamina C de Swanson | Promueve la función metabólica, aumentando los niveles de Energía | 240 cápsulas vegetales",240 cápsulas
VHMX00454,49836326388033,"=""87614112114""",11,largo inválido (11),"=""087614112114""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Vitamina D3 400 UI de Swanson | Favorece la absorción de calcio en el cuerpo | 250 cápsulas,250 cápsulas
VHMX00457,49836326519105,"=""87614117546""",11,largo inválido (11),"=""087614117546""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Citrato de Magnesio en Polvo 630 mg de Swanson | Promueve la relajación muscular, y ayuda en la absorción de calcio | 244g sin sabor",244 g
VHMX00459,49836326650177,"=""87614013930""",11,largo inválido (11),"=""087614013930""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Aceite de Ajo Concentrado 1mg de Swanson | Soporte cardiovascular - Contribuye a reforzar el sistema inmunológico | 250 cápsulas blandas,250 cápsulas
VHMX00462,49836326814017,"=""87614071015""",11,largo inválido (11),"=""087614071015""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Extracto de Fruta de Arándano, Vitamina B12, Ácido Pantoténico, L-Metionina - Kidney Essentials de Swanson | Aporta antioxidantes para protección celular | 60 Cápsulas Veganas",60 cápsulas
VHMX00463,49836326879553,"=""87614040653""",11,largo inválido (11),"=""087614040653""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Extracto de Frijol Blanco 500mg de Swanson | Complemento ideal para hábitos saludables | 180 cápsulas vegetales,180 cápsulas
VHMX00467,49836327240001,"=""87614020860""",11,largo inválido (11),"=""087614020860""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Ultra Selenio 200 mcg de Swanson |  Protección antioxidante, fortalece el sistema inmunológico y ayuda a regular la función tiroidea | 60 cápsulas vegetales",60 cápsulas
VHMX00466,49836326945089,"=""87614080116""",11,largo inválido (11),"=""087614080116""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Maca 500 mg de Swanson |  Ayuda a mejorar el estado de ánimo y el enfoque | 60 cápsulas vegetales,60 cápsulas
VHMX00469,49836327338305,"=""87614021904""",11,largo inválido (11),"=""087614021904""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Ácido Alfa Lipoico 300mg de Swanson | Apoyo de la función metabólica, ayudando a regular los niveles de azúcar en sangre y promoviendo la desintoxicación del organismo | 120 cápsulas vegetales",120 cápsulas
VHMX00470,49836327403841,"=""87614025308""",11,largo inválido (11),"=""087614025308""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Resveratrol 250 mg de Swanson | Apoyo cardiovascular y potente antioxidante | 30 cápsulas vegetales,30 cápsulas
VHMX00287,49836319441217,"=""33674004135""",11,largo inválido (11),"=""033674004135""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Equinácea + Astrágalo + Reishi 1200mg de Nature's Way  | Contribuye a reforzar el sistema inmunológico - Propiedades antioxidantes | 100 cápsulas veganas,100 cápsulas
VHMX00288,49836319506753,"=""33674102558""",11,largo inválido (11),"=""033674102558""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Vitamina D3 y Calcio Alive! Gomas de Fruta con Mezcla de Vegetales Orchard 100mg | Soporte Óseo e Inmunológico | 60 Gominolas,60 gomitas
VHMX00289,49836319539521,"=""33674102930""",11,largo inválido (11),"=""033674102930""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Probiótico Fortify + Prebióticos para mujeres mayores de 50 años, 30 mil millones CFU de Nature's Way con 10 cepas | 30 cápsulas de liberación retardada",30 cápsulas
VHMX00290,49836319605057,"=""33674102954""",11,largo inválido (11),"=""033674102954""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Probiótico + prebióticos para mujeres, 30 mil millones de cultivos vivos, 10 cepas de Nature's Way | Apoyo para el Bienestar Digestivo | 30 cápsulas de liberación retardada",30 cápsulas
VHMX00291,49836319670593,"=""33674113004""",11,largo inválido (11),"=""033674113004""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Cascara Sagrada 270mg de Nature's Way  para el Bienestar Digestivo y la Detoxificación | 100 cápsulas veganas,100 cápsulas
VHMX00292,49836319703361,"=""33674178706""",11,largo inválido (11),"=""033674178706""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Raíz de Ñame silvestre 850mg de Nature's Way  | Equilibrio hormonal femenino | 100 cápsulas veganas,100 cápsulas
VHMX00293,49836319768897,"=""33674404614""",11,largo inválido (11),"=""033674404614""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Inositol 500 mg de Nature's Way  | Contribuye a aliviar el estrés y la ansiedad | 100 cápsulas veganas,100 cápsulas
VHMX00294,49836319867201,"=""33674410714""",11,largo inválido (11),"=""033674410714""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Potasio 99mg de Nature's Way  | Apoyo Cardiovascular y Metabólico | 100 cápsulas veganas,100 cápsulas
VHMX00295,49836319932737,"=""33674413111""",11,largo inválido (11),"=""033674413111""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Complejo de Calcio y Magnesio 750mg de Nature's Way  | Contribuye en la función Ósea y Muscular | 250 cápsulas veganas,250 cápsulas
VHMX00296,49836320031041,"=""33674644003""",11,largo inválido (11),"=""033674644003""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Extracto de Boswellia Premium 307mg de Nature's Way  | Fortalecimiento de las articulaciones | 60 cápsulas veganas,60 cápsulas
VHMX00298,49836320096577,"=""33674172001""",11,largo inválido (11),"=""033674172001""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Micro Alga Espirulina 760mg de Nature's Way  | Apoyo del Sistema Inmunológico | 100 cápsulas veganas,100 cápsulas
VHMX00299,49836320162113,"=""33674009000""",11,largo inválido (11),"=""033674009000""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Mezcla de Aloe Vera, 340g de Nature's Way para el Bienestar Digestivo | 100 cápsulas veganas",100 cápsulas
VHMX00304,49836320391489,"=""33674101803""",11,largo inválido (11),"=""033674101803""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Raíz de Astrágalo 1410mg de  Nature's Way | Contribuye a fortalecer el sistema inmunológico | 100 cápsulas veganas,100 cápsulas
VHMX00305,49836320424257,"=""33674104002""",11,largo inválido (11),"=""033674104002""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Raíz de Remolacha 1000mg de Nature's Way  | Apoyo Cardiovascular y Promueve la circulación sanguínea | 100 cápsulas veganas,100 cápsulas
VHMX00307,49836320489793,"=""33674115367""",11,largo inválido (11),"=""033674115367""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Complejo de Vitaminas B - Multivitamínico en Gomitas para Mujeres |  Energía y Apoyo para el Metabolismo y Cabello | 130 Gomitas de Nature's Way,130 gomitas
VHMX00308,49836320555329,"=""33674115374""",11,largo inválido (11),"=""033674115374""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Vitaminas B, Multivitamínico para Mujeres 50+ | Energía y Fortalecimiento Óseo | 130 Gomitas de  Alive! Nature's Way",130 gomitas
VHMX00309,49836320620865,"=""33674135006""",11,largo inválido (11),"=""033674135006""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Raíz de Eleuthero Siberiano 1275mg de Nature's Way  | Contribuye a reducir la ansiedad y estrés | 100 cápsulas veganas,100 cápsulas
VHMX00310,49836320719169,"=""33674136607""",11,largo inválido (11),"=""033674136607""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Multivitamínico Completo para Hombres con Extractos de Frutas y Verduras 100mg - Alive! Nature's Way | Fortalecimiento del sistema inmunológico | 50 tabletas veganas,50 cápsulas
VHMX00311,49836320817473,"=""33674136638""",11,largo inválido (11),"=""033674136638""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Multivitamínico completo para mujeres 100mg de Alive! Nature's Way, 100% de vitaminas y minerales | Fortalece el sistema inmunológico | 50 tabletas veganas",50 cápsulas
VHMX00312,49836320850241,"=""33674138823""",11,largo inválido (11),"=""033674138823""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Colina 55mg y Fosfatidilserina 25mg, Brain Builder de Nature's Way | Apoya la memoria y el aprendizaje | 60 gomitas sabor a limonada",60 gomitas
VHMX00313,49836320915777,"=""33674145500""",11,largo inválido (11),"=""033674145500""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Raíz de Kudzu 1226mg de Nature's Way  | Apoya el equilibrio hormonal femenino, aliviando los síntomas de la menopausia | 50 cápsulas veganas",50 cápsulas
