sku,titulo,variante,Unidad,Unidades x dosis,contenido,dosis_totales,confianza,fuente,evidencia
VHMX00013,Vitamina D2 1000 UI de NOW Foods | Apoyo para Huesos y Sistema Inmunológico |  120 Cápsulas vegetarianas,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula vegetal
VHMX00017,Vitamina D3 10.000 UI de NOW Foods | Apoyo del Sistema Inmunitario y Ósea | 240 cápsulas blandas,240 Cápsulas,Cápsulas,1,240,240,alta,texto,Tomar 1 cápsula
VHMX00471,"Beta Alanina, L-Citrulina y Rhodiola, 287.5g de Humble | Pre - Entrenamiento con Energía y Enfoque | 25 servicios",287.5g,Medidas,1,287.5,25,alta,imagen,"etiqueta: Serving Size 11.5 Grams (Approx. 1 Scoop), Servings Per Container 25; contenido corregido a 287.5g"
VHMX00472,"Vitamina C Liposomal 1,450 mg de Humble | Absorción Mejorada y Fortalece el Sistema Inmune | 60 cápsulas vegetales",60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00473,"Glicinato de Magnesio 400 mg de Humble | Alta Absorción, Relajación Muscular | 60 Cápsulas",60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00474,Probióticos 60 Mil Millones UFC + Prebióticos + Enzimas Digestivas de Humble | Bienestar Digestivo | 30 Cápsulas,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00475,EPA 625 mg - DHA 244 mg | Aceite de Pescado Molecularmente Destilado 1360mg de Humble | Apoyo Cardiovascular y Cognitivo,60 cápsulas,Softgels,1,60,60,alta,texto,Tomar 1 cápsula blanda
VHMX00476,"Multivitamínico Infantil con Vitaminas A, C, D, Zinc, Biotina de Humble - Better Bears | Apoyo Inmunológico y Energía | ",60 gomitas,Gomitas,60,60,1,alta,texto,tomar Multivitamínico Better Bears de Humble 60 gomitas
VHMX00477,"Colágeno Multi con Vitaminas C, Biotina, Silicio y Ácido Hialurónico de Humble | Apoyo para Uñas, Cabello y Piel | 60 go",60 gomitas,Gomitas,2,60,30,alta,texto,Tomar 2 gomitas
VHMX00210,Vitamina D3 125mcg 5000 UI de Life Extension | Fortalece el Sistema Óseo y el Sistema Inmunológico  | 60 cápsulas blanda,60 cápsulas,Softgels,1,60,60,alta,texto,Tomar 1 cápsula blanda
VHMX00019,Vitamina D3 5000 UI de NOW Foods | Apoyo para la función Ósea y Sistema Inmunitario | 120 gomitas masticables vegetarian,120 gomitas,Tabletas masticables,1,120,120,alta,imagen,etiqueta: Serving Size 1 Chewable Tablet; 120 tabletas → 120 porciones
VHMX00211,NAD suplemento | NAD + regenerador celular 100 mg de Life extension | Regeneración celular - Longevidad y Vitalidad | 30,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00020,"Vitamina D-3 50,000 UI de NOW Foods - Máxima Potencia Soporte Estructural, No-GMO | Fortalece el sistema inmunológico | ",50 cápsulas,Cápsulas,1,50,50,alta,texto,Tomar 1 cápsula
VHMX00021,"Vitamina D-3 & K-2, 1000 IU - 45 mcg de NOW Foods - Apoyo para la función ósea, cardiovascular y absorción de calcio | 1",120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula vegetal
VHMX00212,"Metilcobalamina, Vitamina B12 de 1mg Life Extension | Apoyo de la función cardiovascular y formación de glóbulos rojos |",60 cápsulas,Tabletas,1,60,60,alta,imagen,etiqueta: Serving Size 1 Vegetarian Lozenge (pastilla/lozenge = tableta); 60 unidades → 60 porciones
VHMX00022,"Mega D-3 5000 IU y MK-7 180 mcg, Vitaminas D-3 y K-2 de NOW Foods para Huesos y Sistema Cardiovascular | 60 Cápsulas Veg",60 Cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula vegetal
VHMX00025,"Probiótico-10, 25 Mil Millones, 10 Cepas Probióticas de NOW Foods | 30 y 50 Cápsulas Vegetales",30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula vegetal
VHMX00026,"Probiótico-10, 25 Mil Millones, 10 Cepas Probióticas de NOW Foods | 30 y 50 Cápsulas Vegetales",50 cápsulas,Cápsulas,1,50,50,alta,texto,Tomar 1 cápsula vegetal
VHMX00213,Complejo de Vitaminas B  enzimáticamente activo de Life Extension | Proporciona energía y Vitalidad | 60 cápsulas vegeta,60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00214,NAC (N-Acetil-L-Cisteína) 600mg de Life Extension | Apoya la desintoxicación del hígado | 60 cápsulas vegetales,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00215,"Multivitamínico con Colina, Ácido fólico, DHA + vitaminas y minerales de Life Extension | Nutrientes para la mamá y los ",120 cápsulas,Cápsulas,4,120,30,alta,texto,Tomar 4 cápsulas
VHMX00585,"Ginkgo Biloba 590mg en Gotas de Mary Ruth's 0.5ml por porción | Diseñado para apoyar la función cerebral, promover una c",60 ml,ml,0.5,60,120,alta,imagen,"etiqueta: Serving Size 0.5 mL, Servings Per Container About 60; dosis_totales corregido a 120 (60ml ÷ 0.5ml)"
VHMX00620,"Sauco (Elderberry) 35mg para bebés de Mary Ruth's | Poder antioxidante y antiviral de los arándanos y saúco, fórmula que",30 ml,Gotas,7,30,128,alta,imagen,"etiqueta: Serving Size 7 Drops (0.23 mL), Servings Per Container 128; corregido desde ml/dosis=30 incorrecto"
VHMX00535,Prenatal DHA - Omega 3 + VitD | Suplemento | Desarrollo Neurológico,90 capsulas,Softgels,2,90,45,alta,imagen,"etiqueta: Serving Size 2 Soft Gels, Servings Per Container 45"
VHMX00536,DHA 830 mg de Nordic Naturals | Esencial para la función cardiovascular y cognitiva | 90 cápsulas blandas sabor Fresa,90 cápsulas,Cápsulas,2,90,45,alta,texto,Tomar 2 cápsulas
VHMX00537,"Omega 3 1280mg de Nordic Naturals | Apoyo de la función Cerebral, Ocular y Cardiovascular | 60 cápsulas blandas sabor Li",60 cápsulas,Softgels,2,60,30,alta,texto,Tomar 2 cápsulas blandas
VHMX00538,"Omega 3 2840mg de Nordic Naturals | Apoyo de la función Cerebral, Ocular y Cardiovascular | 119ml sabor Limón",119 ml,Cucharaditas,1,119,24,alta,imagen,"etiqueta: Serving Size 1 Teaspoon (5 mL), Servings Per Container 24"
VHMX00539,"Daily Omega Kids | Suplemento | Salud Cerebral, Ocular, Cardiovascular",30 capsulas / Fresa,Softgels,1,30,30,alta,imagen,"etiqueta: Serving Size 1 Soft Gel, Servings per container 30"
VHMX00540,"Omega-3 690 mg de Nordic Naturals | Apoyo para la función Cerebral, Ocular y cardiovascular | 120 cápsulas blandas sabor",120 capsulas,Softgels,2,120,60,alta,texto,Tomar 2 cápsulas blandas
VHMX00541,"Omega-3 1560 mg de Nordic Naturals | Apoyo de la función Cerebral, Ocular y Cardiovascular | 237ml sabor a limón",237 ml,Cucharaditas,1,237,48,alta,imagen,"etiqueta: Serving Size 1 Teaspoon (approx 5 mL), Servings Per Container 48"
VHMX00542,Omega-3 - Gomitas 82mg de Nordic Naturals | Promueve la función cardiovascular  y cognitiva en niños | 60 gomitas sabor,60 gomitas,Gomitas,2,60,30,alta,imagen,"etiqueta: Serving Size 2 Gummies, Servings per container 30"
VHMX00543,Omega-3 1660 mg DHA Xtra Nordic Naturals | Apoya el desarrollo y mantenimiento cerebral | 60 cápsulas,60 capsulas / Fresa,Softgels,2,60,30,alta,texto,Tomar 2 cápsulas blandas
VHMX00216,Cromo Optimizado con Crominex® 3+ 500 mcg de Life Extension | Contribuye en el aumento a la sensibilidad a la insulina |,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00217,Citrato de Magnesio 100mg de Life Extension | Apoyo Cardiovascular y Muscular | 100 cápsulas vegetarianas,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00218,"Extracto de Ashwagandha Optimizada 125mg de Life Extension | Ayuda a reducir el estrés y la ansiedad, contribuyendo al d",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00219,Litio 1000 mcg de Life Extension | Apoyo de la función Cerebral y Cognitiva | 100 cápsulas vegetales,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00220,Folato Optimizado 1700 mcg DFE de Life Extension  | Promueve el bienestar durante el embarazo | 100 cápsulas vegetariana,100 cápsulas,Tabletas vegetales,1,100,100,alta,imagen,etiqueta: Serving Size 1 Vegetarian Tablet; unidad corregida a Tabletas vegetales; 100 unidades → 100 porciones
VHMX00221,Súper Enzimas digestivas 140mg con Probióticos 10mg de Life Extension | Contribuye en la digestión y absorción de nutrie,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula vegetal
VHMX00222,Vitamina C 1000mg y Bio-Quercetina 15mg de Life Extension | Promueve la función del sistema inmunológico | 60 tabletas v,60 tabletas,Tabletas,1,60,60,alta,texto,Tomar 1 tableta
VHMX00223,Vitaminas D y K con Complejo de Yodo Marino de Life Extension | Fortalecimiento Óseo e Inmune | 60 cápsulas vegetarianas,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00224,DHEA 25mg de Life Extension | Fortalece el Sistema Inmune y Hormonal | 100 cápsulas vegetales,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00027,Probiótic-10 de NOW Foods | Apoya la digestión y absorción de nutrientes | 50 cápsulas,50 Cápsulas,Cápsulas,1,50,50,alta,texto,Tomar 1 cápsula vegetal
VHMX00028,"Probiótico 100 Mil Millones UFC con 10 Cepas Diferentes para el Cuidado Digestivo - NOW Foods | Libre de Lácteos, Soya y",30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX00030,Probiótico Femenino 20 Mil Millonesde NOW Foods | Ayuda a mantener el equilibrio de la flora vaginal | 50 Cápsulas Vegan,50 cápsulas,Cápsulas,1,50,50,alta,texto,Tomar 1 cápsula
VHMX00031,Omega 3 Molecularmente Destilado 1000 mg de Now Foods | Apoya la salud cardiovascular | 100 Cápsulas,100 Cápsulas,Softgels,2,100,50,alta,texto,Tomar 2 cápsulas blandas
VHMX00034,"Ultra Omega-3, Concentrado de Aceite de Pescado con 500 mg de EPA y 250 mg de DHA de NOW Foods | Apoyo Cardiovascular y ",90 Cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00035,DHA 250 mg con EPA 125 mg de NOW Foods | Aceite de Pescado Molecularmente Destilado | Apoya la Función Cerebral y Cardio,120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX00036,"DHA-500, 500 mg de DHA y 250 mg de EPA de NOW Foods | Soporte para la Función del Cerebro y Cardiovascular | 90 Cápsulas",90 Cápsulas,Softgels,1,90,90,alta,texto,Tomar 1 cápsula blanda
VHMX00037,Aceite de Kril Neptune 500 mg de NOW Foods| Apoyo Cardiovascular | 60 Cápsulas Blandas,60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00038,Ultra Omega-3 con Vitamina D-3 600 mg EPA - 300 mg DHA | Apoyo Cardiovascular | 90 y 180 Cápsulas Blandas,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00039,Ultra Omega-3 con Vitamina D-3 600 mg EPA - 300 mg DHA | Apoyo Cardiovascular | 90 y 180 Cápsulas Blandas,180 Cápsulas,Cápsulas,1,180,180,alta,texto,Tomar 1 cápsula
VHMX00042,Vitamina C-1000 con Bioflavonoides 100mg de Now Foods | Protección Antioxidante - Fortalece Sistema Inmunológico | 100 C,100 cápsulas vegetales,Cápsulas vegetales,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00043,"Vitamina C (1,000 mg) y Zinc (15 mg) NOW Foods para el Apoyo Inmunológico | 90 y 180 Cápsulas Vegetales",90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula vegetal
VHMX00044,"Vitamina C (1,000 mg) y Zinc (15 mg) NOW Foods para el Apoyo Inmunológico | 90 y 180 Cápsulas Vegetales",180  Cápsulas,Cápsulas,1,180,180,alta,texto,Tomar 1 cápsula vegetal
VHMX00225,Súper Omega-3 con EPA + DHA 2000mg de Life Extension | Promueve la función cerebral y cardiovascular | 240 cápsulas blan,240 cápsulas,Cápsulas,4,240,60,alta,texto,Tomar 4 cápsulas
VHMX00478,Alga DHA 100mg con Vitamina A 180mg y Luteína de Child Life | Apoya el desarrollo cognitivo en niños en crecimiento | 60,60 Cápsulas,Softgels,2,60,30,alta,imagen,"etiqueta: Serving Size 1 softgel; 2 softgels / Servings Per Container 60; 30 — tomado el máximo (2 softgels, 30 porciones)"
VHMX00226,Extracto de Cúrcuma 500mg de Life Extension | Apoyo de la función Cardiovascular | 60 cápsulas vegetarianas,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX01204,BCAAs + Electrolitos + Antioxidantes de Quenut - Strength | Nutrición Deportiva | Apoyo Muscular - Recuperación | Presen,Mora | 500g,Medidas,1,500,50,alta,imagen,"etiqueta: Por porción 10g (1 scoop), 500g neto → 50 porciones"
VHMX01202,BCAAs + Electrolitos + Antioxidantes de Quenut - Strength | Nutrición Deportiva | Apoyo Muscular - Recuperación | Presen,Jamaica | 500g,Medidas,1,500,50,alta,imagen,"etiqueta: Por porción 10g (1 scoop), 500g neto → 50 porciones (misma fórmula que VHMX01204)"
VHMX01203,BCAAs + Electrolitos + Antioxidantes de Quenut - Strength | Nutrición Deportiva | Apoyo Muscular - Recuperación | Presen,Lychee | 500g,Medidas,1,500,50,alta,imagen,"etiqueta: Por porción 10g (1 scoop), 500g neto → 50 porciones (misma fórmula que VHMX01204)"
VHMX01205,BCAAs + Electrolitos + Antioxidantes de Quenut - Strength | Nutrición Deportiva | Apoyo Muscular - Recuperación | Presen,Naranja- Mandarina | 500g,Medidas,1,500,50,alta,imagen,"etiqueta: Por porción 10g (1 scoop), 500g neto → 50 porciones (misma fórmula que VHMX01204)"
VHMX00228,"Bone Restore de Life extension con Vitamina K2, D3, Magnesio, Calcio Restauración Ósea, Fortalecimiento de los Huesos | ",120 cápsulas,Cápsulas,4,120,30,alta,texto,Tomar 4 cápsulas
VHMX00229,Folato Bioactivo 680mcg y Vitamina B12 300mcg de Life Extension | Apoyo del Sistema Cardiovascular | 90 cápsulas vegetar,90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00230,"Glutatión, Cisteína y Vitamina C de Life Extension | Promueve la fortaleza del sistema inmunológico  | 100 cápsulas vege",100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00231,L-Glutamina 500mg de Life Extension | Promueve el bienestar digestivo y el sistema inmunológico | 100 cápsulas vegetales,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX00232,"Súper Ubiquinol CoQ10 100mg de Life Extension | Apoyo de la función Cardiovascular, aumentando los niveles de energía | ",60 cápsulas,Softgels,1,60,60,alta,texto,Tomar 1 cápsula blanda
VHMX00479,"Vitamina D3, Calcio, Magnesio y Zinc en líquido de ChildLife Essentials | Apoya el desarrollo de huesos y dientes fuerte",473ml,Cucharadas,1,473,32,alta,imagen,"etiqueta: Serving Size 1 tsp (5mL); 2 tsp (10mL); 1 tbsp (15mL) / Servings Per Container 95; 47; 32 — tomado el máximo (1 tbsp = Cucharada, 32 porciones)"
VHMX00233,Extracto de Rhodiola 250mg de Life Extension | Contribuye a disminuir el estrés y ansiedad | 60 cápsulas vegetarianas,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00480,Raíz de Equinácea Orgánica para Niños de Child Life | Apoyo Inmunológico | 30ml - Fórmula líquida con sabor a naranja na,30ml,ml,0.5,30,60,alta,imagen,"etiqueta: Serving Size 0.25 mL; 0.5 mL / Servings Per Container 120; 60 — tomado el máximo (0.5 mL, 60 porciones)"
VHMX00234,Aceite de Comino Negro 500mg de Life Extension | Apoyo del Sistema Inmunitario con acción antioxidante | 60 cápsulas bla,60 cápsulas,Softgels,1,60,60,alta,texto,Tomar 1 cápsula blanda
VHMX00481,Zinc + Hierbas Naturales - Primera Defensa para Niños de Child Life | Apoyo Inmunológico - Fuerte y Equilibrado | Líquid,118 ml,Cucharaditas,1,118,24,alta,imagen,"etiqueta: Serving Size 1/2 tsp (2.5mL); 1 tsp (5mL). Servings Per Container: About 47; 24. Dosis máxima = 1 tsp, 24 porciones."
VHMX00235,"Vitamina D3 25mcg 1000 UI de Life Extension | Fortalecimiento de huesos, dientes y del sistema Inmunológico | 250 cápsul",250 cápsulas,Softgels,1,250,250,alta,texto,Tomar 1 cápsula blanda
VHMX00483,Hierro Líquido para niños de Child Life | Impulsa la formación de glóbulos rojos y el transporte de oxígeno - Energía |,118 ml,Cucharaditas,1,118,24,alta,imagen,"etiqueta: Serving Size 1/2 tsp (2.5mL); 1 tsp (5mL). Servings Per Container: About 47; 24. Dosis máxima = 1 tsp, 24 porciones."
VHMX00236,Melatonina líquida 3mg sabor citrus - vainilla de Life Extension  | Contribuye a promover un sueño y descanso reparador,59 ml,ml,1,59,59,alta,imagen,"etiqueta: Serving Size 1 mL, Servings Per Container About 59. Dosis y dosis_totales ya venían del batch, confirmadas."
VHMX00237,"L- Treonato de Magnesio 144mg Neuro-Mag - de Life Extension | Apoya la función neurológica, contribuyendo a la memoria y",90 cápsulas,Cápsulas,3,90,30,alta,texto,Tomar 3 cápsulas
VHMX00238,"Minerales traza, Zinc, Manganeso, Molibdeno de Life Extension |  Fortalece el Sistema Inmunitario | 90 cápsulas vegetari",90 cápsulas,Cápsulas,1,90,90,alta,texto,Tomar 1 cápsula
VHMX00239,Melissa Oficinalis y L-Teanina 300 mg de Life Extension | Contribuye en el alivio del estrés y la ansiedad | 30 Cápsulas,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula vegetal
VHMX00241,Creatina monohidratada 1000mg + Vitamina C 11mg de Life Extension | Fortalecimiento Muscular y Metabólico | 120 cápsulas,120 cápsulas,Cápsulas,2,120,60,alta,texto,Tomar 2 cápsulas
VHMX00243,MacuGuard® 173mg con Azafrán y Extracto de Grosella Negra Europea | Soporte Ocular y Visión con Luteína y Zeaxantina | 6,60 cápsulas,Softgels,1,60,60,alta,texto,Tomar 1 cápsula blanda
VHMX00244,Vitamina C 100mg + Bio-Quercetina 15mg de Life Extension | Promueve la fortaleza del sistema inmunológico | 250 cápsulas,250 cápsulas,Tabletas vegetales,1,250,250,alta,imagen,etiqueta: Serving Size 1 Vegetarian Tablet. Contenido 250 tabs. No indica servings per container pero dosis=1 → 250 totales. Unidad corregida de Tabletas a Tabletas vegetales.
VHMX00245,Curcumina Avanzada Elite 500mg de Life Extension | Apoyo Cardiovascular e Inmune que favorece la función celular | 30 cá,30 cápsulas,Softgels,1,30,30,alta,texto,Tomar 1 cápsula blanda
VHMX00246,"Vitamina C Liposomal 24 Horas 350mg con Lipo-Cmax 1000mg y Ascorbato de Calcio, Fórmula Hydrogel de Life Extension |  Ap",60 tabletas,Tabletas,1,60,60,alta,texto,Tomar 1 tableta
VHMX00045,Vitamina C Liposomal 1.000mg de NOW Foods | Defensas y Fortalecimiento del Sistema Inmune | 120 cápsulas vegetarianas,120 cápsulas,Cápsulas vegetales,2,120,60,alta,texto,Tomar 2 cápsulas vegetales
VHMX00048,NAC (N-Acetil Cisteína) 600 mg con Selenio y Molibdeno de NOW Foods - Protección contra Radicales Libres y Sistema Inmun,100 tabletas,Cápsulas vegetales,1,100,100,alta,imagen,etiqueta: Serving Size 1 Capsule. Other ingredients: Hypromellose (cellulose capsule) = cápsula vegetal. Unidad corregida de Cápsulas a Cápsulas vegetales.
VHMX00924,Magnesio ULTRA | Citrato + Glicinato + Oroato + Gluconato con Vitamina B6 de Vida Labs - Relajación Muscular y Reducción,60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00925,Probióticos Avanzados con Enzimas Digestivas de Wohl Laboratorios | Promueve el Bienestar intestinal  | 60 cápsulas vege,60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00049,"Extracto de Ginseng Panax, 1,000 mg de Now Foods | Mejora la concentración y el rendimiento cognitivo | 100 y 250 Cápsul",100 cápsulas,Cápsulas,2,100,50,alta,texto,Tomar 2 cápsulas
VHMX00050,"Extracto de Ginseng Panax, 1,000 mg de Now Foods | Mejora la concentración y el rendimiento cognitivo | 100 y 250 Cápsul",250 Cápsulas,Cápsulas,2,250,125,alta,texto,Tomar 2 cápsulas
VHMX00051,Vitamina B-12 5000mcg de NOW Foods - Apoyo para la función del Sistema Nervioso | 60 pastillas veganas,60 pastillas,Tabletas,1,60,60,alta,texto,Tomar 1 tableta
VHMX00926,"Ultra Omega 3 EPA y DHA de Vida Labs | Apoyo de la Función Cardiovascular y Reduce la Inflamación, Ayudando a Aliviar Do",30 cápsulas,Softgels,1,30,30,alta,imagen,etiqueta: Por porción: Una cápsula de softgel (1g). Porciones por envase: 30 cápsulas. Unidad corregida de Cápsulas a Softgels.
VHMX00053,Vitamina B12 2000 mcg de NOW Foods | Ayuda a favorecer al funcionamiento del sistema nervioso central | 100 pastillas ve,100 pastillas,Tabletas masticables,1,100,100,alta,texto,Tomar 1 tableta masticable
VHMX00054,Vitamina B12 Metilada 5000 mcg Now Foods con Folato | Soporte al Sistema Nervioso | 120 cápsulas,120 pastillas,Tabletas,1,120,120,alta,texto,Disolver 1 tableta
VHMX00930,"Citrato de Potasio 500mg de VidaLabs |  Apoya la función muscular, ayudando a prevenir calambres y favoreciendo la contr",60 cápsulas,Cápsulas,2,60,30,alta,texto,Tomar 2 cápsulas
VHMX00056,"Biotina 5,000 mcg de NOW Foods | Apoyo energético y fortalecimiento del cabello, piel y uñas | 60 cápsulas vegetales",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00057,Glicinato de Magnesio 200mg de NOW Foods | Soporte para el Sistema Nervioso | 180 Tabletas,180 cápsulas,Tabletas,2,180,90,alta,imagen,"etiqueta: Serving Size 2 Tablets, Servings Per Container 90. Dosis ya venía correcta del batch."
VHMX00059,"Enzimas BioCore® DPP IV 274 mg de NOW Foods, para la Digestión de Gluten y Cereales | Apoyo Gastrointestinal | 60 Cápsul",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula vegetal
VHMX00060,"CLA 800 mg Aceite Nutricional de Cártamo de NOW Foods, No GMO| Fuente de ácido linoleico conjugado no OGM | 90 Cápsulas ",90 cápsulas,Softgels,3,90,30,alta,texto,Tomar 3 cápsulas blandas
VHMX01011,Bisglicinato de Magnesio Quelado y Óxido de Magnesio Magno Complex Matter | Alta Biodisponibilidad | 100 Cápsulas,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX01012,Bifidobacterium lactis B420™ Lactobacillus acidophilus NCFM® Extracto de Cáscara de Canela Probivos Lean Matter | 30 Cáp,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX01013,Probióticos Glutamina Probivos Fem Matter 50 Billones de UFC | Bienestar Digestivo Femenino | 30 Cápsulas Vegetales,30 cápsulas,Cápsulas,1,30,30,alta,texto,Tomar 1 cápsula
VHMX01014,Complejo B con Metil Folato (Quatrefolic®) y Vitamina B12 Besties Matter | Energía y Bienestar Diario | 60 Cápsulas Vege,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX01015,Enzimas Digestivas con TCM y Cúrcuma Multizyme Matter 750 mg,100 cápsulas,Cápsulas,1,100,100,alta,texto,Tomar 1 cápsula
VHMX01016,"Fórmula Exclusiva con ALA, I3C, NAC, Vitamina C, Vitamina E, Selenio y Glicina 860mg - Antioxidantes Megantiox Matter | ",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX01017,"Inositol, Vitaminas y Minerales Diaria Matter Fem 890 mg | Bienestar Femenino Diario | 60 Cápsulas vegetales",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX01018,Glutatión Setria y AstraGin Forever Young  Matter | Protección Antioxidante y Energía Celular | 45 Cápsulas vegetales,45 cápsulas,Cápsulas,1,45,45,alta,texto,Tomar 1 cápsula
VHMX01019,"Gomitas con Fibra, Vitaminas y Minerales Quelados Diaria Kids Matter Sabor Cereza Natural | Bienestar Infantil Diario | ",60 gomitas,Gomitas,2,60,30,alta,texto,Tomar 2 gomitas
VHMX01020,Citrato de Magnesio Quelado Magno-Cit Matter 820 mg | Bienestar Muscular y Nervioso | 120 Cápsulas Vegetales,120 cápsulas,Cápsulas,1,120,120,alta,texto,Tomar 1 cápsula
VHMX01021,Palmitato de Retinol Vitamina A 2500 UI Retinol-A Matter 60 ml | Apoyo para la Salud de la Piel,60 ml,Gotas,1,60,1200,alta,imagen,"etiqueta: Tamaño de la porción 1 gota (0.05ml). Porciones por envase: 1200. Unidad confirmada = Gotas, dosis confirmada = 1."
VHMX01022,"NutroxSun, Astaxantina y Genisteína Buddy Sun Matter 757 mg | Protección Solar y Salud de la Piel | 60 Cápsulas Vegetale",60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
